buld_nm,승강기번호,주소,고장,고장일자,,sido,sigungu,buld_nm,,,,,,,,
휴먼시아동화마을4단지,445-03770,경기도 화성시 봉담읍 동화새터길 118 ,Y,2011.7.1,,경기도,화성시,봉담읍,,,,,,,,
휴먼시아동화마을4단지,445-03770,경기도 화성시 봉담읍 동화새터길 118 ,Y,2008.9.16,,경기도,화성시,봉담읍,,,,,,,,
휴먼시아동화마을4단지,445-03770,경기도 화성시 봉담읍 동화새터길 118 ,Y,2008.9.3,,경기도,화성시,봉담읍,,,,,,,,
대덕테크노밸리9단지,305-03302,대전광역시 유성구 배울2로 19 (관평동),Y,2012.1.21,,대전광역시,유성구,배울2로,,,,,,,,
마곡수명산파크1단지,157-04511,"서울특별시 강서구 강서로47길 108  (내발산동, 마곡수명산파크1단지아파트)",Y,2014.9.11,,서울특별시,강서구,강서로47길,,,,,,,,
봉덕주공1차아파트,579-00048,전라북도 부안군 부안읍 학동길 4  (봉덕리),Y,2013.7.4,,전라북도,부안군,부안읍,,,,,,,,
봉덕주공1차아파트,579-00052,전라북도 부안군 부안읍 학동길 4  (봉덕리),Y,2011.4.30,,전라북도,부안군,부안읍,,,,,,,,
동인천오피스텔,401-00029,인천광역시 동구 수문통로 5-1 (화평동),Y,2010.11.5,,인천광역시,동구,수문통로,,,,,,,,
효자초등학교,448-00625,경기도 용인시 수지구 성복1로 106-1 (성복동),Y,2011.11.15,,경기도,용인시,수지구,,,,,,,,
대성빌딩,120-03234,서울특별시 서대문구 가좌로 110 (홍은동),Y,2013.8.16,,서울특별시,서대문구,가좌로,,,,,,,,
장계유림팰리스102동,597-00040,전라북도 장수군 장계면 한들로 62 (장계유림팰리스),Y,2012.9.21,,전라북도,장수군,장계면,,,,,,,,
내포롯데캐슬아파트,350-00589,충청남도 홍성군 홍북면 신대로 34 (내포신도시 롯데캐슬),Y,2014.10.14,,충청남도,홍성군,홍북면,롯데캐슬),,,,,,,
내포롯데캐슬아파트,350-00604,충청남도 홍성군 홍북면 신대로 34 (내포신도시 롯데캐슬),Y,2014.6.19,,충청남도,홍성군,홍북면,롯데캐슬),,,,,,,
동산빌,683-02029,울산광역시 북구 호계2길 54-14 (호계동),Y,2012.7.18,,울산광역시,북구,호계2길,,,,,,,,
라온빌,437-01538,경기도 의왕시 새터길 21 (포일동),Y,2012.11.27,,경기도,의왕시,새터길,,,,,,,,
글로리타워1,300-01658,대전광역시 동구 은어송로 58 (가오동),Y,2010.12.12,,대전광역시,동구,은어송로,,,,,,,,
전주오페라하우스,560-04207,"전라북도 전주시 완산구 안행로 150  (서완산동2가, 전주오페라하우스)",Y,2013.7.6,,전라북도,전주시,완산구,전주오페라하우스),,,,,,,
전주오페라하우스,560-04210,"전라북도 전주시 완산구 안행로 150  (서완산동2가, 전주오페라하우스)",Y,2012.7.18,,전라북도,전주시,완산구,전주오페라하우스),,,,,,,
교동일동미라주아파트,626-02362,경상남도 양산시 회현1길 48 ,Y,2011.1.11,,경상남도,양산시,회현1길,,,,,,,,
완주봉동주공아파트,565-00458,전라북도 완주군 봉동읍 봉동중앙로 53-18 ,Y,2011.3.24,,전라북도,완주군,봉동읍,,,,,,,,
덕수프라자,158-03627,서울특별시 양천구 목동중앙북로 73 (목동),Y,2014.9.27,,서울특별시,양천구,목동중앙북로,,,,,,,,
