buld_nm,승강기번호,주소,고장,고장일자,sido,sigungu,buld_nm.1,real_number
(주)메트로백화점,122-00595,서울특별시 은평구 통일로 856 (불광동),Y,2010.8.10,서울특별시,은평구,통일로,A
(주)메트로백화점,122-00567,서울특별시 은평구 통일로 856 (불광동),Y,2011.1.18,서울특별시,은평구,통일로,A
녹번2차현대아파트,122-00576,서울특별시 은평구 서오릉로4길 7-8 (녹번동),Y,2011.9.15,서울특별시,은평구,서오릉로4길,0000043
티파니모텔,122-00581,서울특별시 은평구 통일로65길 24 (대조동),Y,2012.7.27,서울특별시,은평구,통일로65길,0102688
경향렉스빌아파트,122-01461,서울특별시 은평구 은평로 160 (응암동),Y,2011.10.16,서울특별시,은평구,은평로,0039988
팜스퀘어,122-01586,서울특별시 은평구 불광로 20 (대조동),Y,2012.11.25,서울특별시,은평구,불광로,0040950
삼부아파트(신흥상가),122-00763,서울특별시 은평구 증산로21길 11 (신사동),Y,2010.6.22,서울특별시,은평구,증산로21길,0039184
라비앙타워,122-01590,서울특별시 은평구 불광로 60 (불광동),Y,2010.5.27,서울특별시,은평구,불광로,0084799
신사두산위브아파트,122-01871,서울특별시 은평구 갈현로1길 36 (신사동),Y,2015.5.28,서울특별시,은평구,갈현로1길,0080769
신사두산위브아파트,122-01869,서울특별시 은평구 갈현로1길 36 (신사동),Y,2010.8.1,서울특별시,은평구,갈현로1길,0080769
구파발광역환승센터,122-03481,서울특별시 은평구 진관2로 15-40 (진관동),Y,2013.3.25,서울특별시,은평구,진관2로,0040549
불광동대호아파트(1차),122-00514,서울특별시 은평구 불광로 98-8 (불광동),Y,2015.11.2,서울특별시,은평구,불광로,0042435
불광동대호아파트(1차),122-00515,서울특별시 은평구 불광로 98-8 (불광동),Y,2012.6.26,서울특별시,은평구,불광로,0042435
불광동대호아파트(1차),122-00514,서울특별시 은평구 불광로 98-8 (불광동),Y,2012.2.11,서울특별시,은평구,불광로,0042435
불광동대호아파트(1차),122-00513,서울특별시 은평구 불광로 98-8 (불광동),Y,2013.1.18,서울특별시,은평구,불광로,0042435
불광동대호아파트(1차),122-00512,서울특별시 은평구 불광로 98-8 (불광동),Y,2013.1.18,서울특별시,은평구,불광로,0042435
동익파크1차아파트,122-00147,서울특별시 은평구 서오릉로21길 20 (구산동),Y,2014.8.13,서울특별시,은평구,서오릉로21길,0080895
삼흥아파트,122-00988,서울특별시 은평구 통일로82가길 2 (불광동),Y,2014.9.16,서울특별시,은평구,통일로82가길,0069940
행운아파트,122-00993,서울특별시 은평구 연서로19길 16-7 (갈현동),Y,2013.8.10,서울특별시,은평구,연서로19길,0069664
대조동주민센터,122-00886,서울특별시 은평구 연서로20길 24-3 (대조동),Y,2013.8.23,서울특별시,은평구,연서로20길,0084652
서울교통공사6호선새절역,122-01472,서울특별시 은평구 증산로 400 (신사동),Y,2012.6.18,서울특별시,은평구,증산로,0042689
서울교통공사6호선새절역,122-01472,서울특별시 은평구 증산로 400 (신사동),Y,2012.9.15,서울특별시,은평구,증산로,0042689
서울교통공사6호선새절역,122-01472,서울특별시 은평구 증산로 400 (신사동),Y,2011.11.5,서울특별시,은평구,증산로,0042689
서울교통공사6호선새절역,122-01472,서울특별시 은평구 증산로 400 (신사동),Y,2011.8.23,서울특별시,은평구,증산로,0042689
예청아파트 B동,122-01050,서울특별시 은평구 불광천길 502-1 (응암동),Y,2014.6.10,서울특별시,은평구,불광천길,0080421
은평뉴타운 마고정3단지,122-02491,서울특별시 은평구 진관2로 90 (진관동),Y,2012.1.4,서울특별시,은평구,진관2로,0102285
응암SH-Ville임대아파트,122-01946,서울특별시 은평구 백련산로 146-30 (응암동，응암 SH-VILLE),Y,2014.8.27,서울특별시,은평구,백련산로,0040866
진원 Y-타운,122-02171,서울특별시 은평구 통일로 855-8 (갈현동),Y,2014.7.13,서울특별시,은평구,통일로,0083632
은평뉴타운마고정11단지,122-02536,"서울특별시 은평구 진관1로 55 , 은평뉴타운마고정아파트 (진관동)",Y,2014.8.18,서울특별시,은평구,진관1로,0102149
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2012.8.6,서울특별시,은평구,연서로,A
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2011.12.26,서울특별시,은평구,연서로,A
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2012.12.28,서울특별시,은평구,연서로,A
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2012.2.5,서울특별시,은평구,연서로,A
두원빌딩,122-00376,서울특별시 은평구 은평로 46 (신사동),Y,2010.6.6,서울특별시,은평구,은평로,0084803
두원빌딩,122-00376,서울특별시 은평구 은평로 46 (신사동),Y,2013.8.9,서울특별시,은평구,은평로,0084803
유림빌딩,122-00259,서울특별시 은평구 통일로 626 (녹번동),Y,2014.9.23,서울특별시,은평구,통일로,0050138
유림빌딩,122-00259,서울특별시 은평구 통일로 626 (녹번동),Y,2014.9.23,서울특별시,은평구,통일로,0050138
경남아너스빌아파트,122-01414,서울특별시 은평구 갈현로11길 46 (구산동),Y,2011.2.17,서울특별시,은평구,갈현로11길,0050450
경남아너스빌아파트,122-01436,서울특별시 은평구 갈현로11길 46 (구산동),Y,2013.1.24,서울특별시,은평구,갈현로11길,0050450
펜트하우스,122-01606,서울특별시 은평구 통일로72길 31 (불광동),Y,2011.8.14,서울특별시,은평구,통일로72길,0084026
연세빌딩,122-01189,서울특별시 은평구 진흥로 143 (대조동),Y,2014.8.7,서울특별시,은평구,진흥로,0051100
선일여자고등학교,122-03774,서울특별시 은평구 갈현로29길 27 (갈현동),Y,2012.9.24,서울특별시,은평구,갈현로29길,0084648
선일여자고등학교,122-03774,서울특별시 은평구 갈현로29길 27 (갈현동),Y,2012.2.1,서울특별시,은평구,갈현로29길,0084648
진성빌딩,122-00256,서울특별시 은평구 응암로21가길 12 (응암동),Y,2011.3.8,서울특별시,은평구,응암로21가길,0015220
