buld_nm,승강기번호,주소,고장,고장일자,sido,sigungu,buld_nm
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2011.12.26,서울특별시,은평구,연서로
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2012.12.28,서울특별시,은평구,연서로
금현빌딩,122-00523,서울특별시 은평구 연서로 73 (역촌동),Y,2012.2.5,서울특별시,은평구,연서로
두원빌딩,122-00376,서울특별시 은평구 은평로 46 (신사동),Y,2010.6.6,서울특별시,은평구,은평로
두원빌딩,122-00376,서울특별시 은평구 은평로 46 (신사동),Y,2013.8.9,서울특별시,은평구,은평로
유림빌딩,122-00259,서울특별시 은평구 통일로 626 (녹번동),Y,2014.9.23,서울특별시,은평구,통일로
유림빌딩,122-00259,서울특별시 은평구 통일로 626 (녹번동),Y,2014.9.23,서울특별시,은평구,통일로
경남아너스빌아파트,122-01414,서울특별시 은평구 갈현로11길 46 (구산동),Y,2011.2.17,서울특별시,은평구,갈현로11길
경남아너스빌아파트,122-01436,서울특별시 은평구 갈현로11길 46 (구산동),Y,2013.1.24,서울특별시,은평구,갈현로11길
펜트하우스,122-01606,서울특별시 은평구 통일로72길 31 (불광동),Y,2011.8.14,서울특별시,은평구,통일로72길
연세빌딩,122-01189,서울특별시 은평구 진흥로 143 (대조동),Y,2014.8.7,서울특별시,은평구,진흥로
선일여자고등학교,122-03774,서울특별시 은평구 갈현로29길 27 (갈현동),Y,2012.9.24,서울특별시,은평구,갈현로29길
선일여자고등학교,122-03774,서울특별시 은평구 갈현로29길 27 (갈현동),Y,2012.2.1,서울특별시,은평구,갈현로29길
진성빌딩,122-00256,서울특별시 은평구 응암로21가길 12 (응암동),Y,2011.3.8,서울특별시,은평구,응암로21가길
북한산래미안205동,122-03181,서울특별시 은평구 불광로2길 41 (불광동),Y,2011.9.8,서울특별시,은평구,불광로2길
인락빌딩,122-01911,서울특별시 은평구 연서로29길 8-8 (갈현동),Y,2012.1.30,서울특별시,은평구,연서로29길
수색자이상가2단지,122-02499,"서울특별시 은평구 수색로 217-1 (증산동, DMC 자이2단지내 상가 관리사무소)",Y,2016.8.7,서울특별시,은평구,수색로
불광동현대아파트,122-00220,서울특별시 은평구 불광로20길 9 (불광동),Y,2012.12.25,서울특별시,은평구,불광로20길
성보빌딩,122-03577,서울특별시 은평구 연서로 213 (갈현동),Y,2011.6.13,서울특별시,은평구,연서로
상아아파트,122-00885,서울특별시 은평구 불광천길 526 (응암동),Y,2011.10.16,서울특별시,은평구,불광천길
갈현1동주민센터,122-01621,서울특별시 은평구 갈현로 301 (갈현동),Y,2014.6.18,서울특별시,은평구,갈현로
구파발9단지(제1관리소),122-02982,서울특별시 은평구 진관3로 67 (진관동),Y,2010.11.13,서울특별시,은평구,진관3로
기린빌딩,122-00095,서울특별시 은평구 진흥로 103 (역촌동),Y,2011.4.25,서울특별시,은평구,진흥로
서울교통공사3호선불광역,122-00690,서울특별시 은평구 통일로 지하723-1 (대조동),Y,2014.8.8,서울특별시,은평구,통일로
서연빌딩,122-00061,서울특별시 은평구 통일로 869 (갈현동),Y,2012.3.7,서울특별시,은평구,통일로
서연빌딩,122-00061,서울특별시 은평구 통일로 869 (갈현동),Y,2012.3.7,서울특별시,은평구,통일로
서연빌딩,122-00061,서울특별시 은평구 통일로 869 (갈현동),Y,2012.3.7,서울특별시,은평구,통일로
신사씨티아파트,122-00032,서울특별시 은평구 가좌로 391 (신사동),Y,2008.5.14,서울특별시,은평구,가좌로
조경빌딩,122-00368,서울특별시 은평구 연서로9길 23 (역촌동),Y,2013.7.13,서울특별시,은평구,연서로9길
한국빌딩,122-01823,서울특별시 은평구 갈현로5길 32 (신사동),Y,2014.8.25,서울특별시,은평구,갈현로5길
북한산힐스테이트3차,122-02892,서울특별시 은평구 불광로 122-10 (불광동),Y,2014.7.8,서울특별시,은평구,불광로
